HistoryID,LastWriteTime,CreationTime,Length,FullName,Version
1,01/11/2007 13:46,22/09/2014 06:59,4172,C:\Users\Marco\Documents\tep\gbm01\InitialTests\ClassPortLib\Switch.cs,alfa1
2,01/11/2007 13:46,19/09/2014 16:01,4172,C:\Users\Marco\Documents\tep\gcs\gcs\My Documents\Visual Studio 2008\Projects\InitialTests\ClassPortLib\Switch.cs,alfa1
3,02/08/2014 09:53,13/12/2013 13:52,36379,C:\Users\Marco\Documents\Visual Studio 2013\Projects\EWS\commandline_utility\Switch.cs,3.4.1.113
4,22/07/2015 22:02,23/09/2015 02:15,29960,C:\design\codeplex\designertoolset\Dependency\Switch.cs,3.3.1.110
5,22/07/2015 22:02,23/09/2015 02:54,42226,C:\design\codeplex\switchargumentparser\Switch\Switch.cs,3.5.2.114
6,22/09/2015 19:27,13/01/2015 18:01,42219,C:\design\open\to_add\commandline_utility\Switch.cs,3.5.2.114
7,23/09/2015 06:55,23/09/2015 06:52,42217,C:\design\open\cmdlib\commandline_utility\Switch.cs,3.5.2.114
8,02/03/2016 22:56,22/07/2015 22:02,42230,C:\design\codeplex\spark1\SoftwareDesignerToolset\DependencyManagement\Dependency\Switch.cs,3.5.2.114
9,09/07/2016 14:13,22/07/2015 22:02,37325,C:\design\codeplex\spark1\SwitchArgumentParser\Switch\Switch.cs,3.6.0.0
10,04/10/2018 06:27,04/10/2018 06:20,42317,C:\design\github_spike\spike\opt\Switch\Switch.cs,3.5.2.114
